"","timestamp","id","version","session","session_type","keys_lr","level","level_type","global_trial_num","block_trial_num","trial_type","bias","ss","response_type","response_correct","response_time","ss_delay","score"
"793","190731-11-33-57.127",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",793,141,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.001953125,0.759999990463257,960
"794","190731-11-34-00.028",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",794,142,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.178466796875,0.759999990463257,410
"795","190731-11-34-03.753",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",795,143,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.004638671875,0.759999990463257,960
"796","190731-11-34-07.473",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",796,144,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.003173828125,0.759999990463257,960
"797","190731-11-34-10.464",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",797,145,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.267578125,0.759999990463257,366
"798","190731-11-34-13.606",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",798,146,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.4208984375,0.759999990463257,289
"799","190731-11-34-16.695",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",799,147,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.371337890625,0.759999990463257,314
"800","190731-11-34-19.580",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",800,148,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.163818359375,0.759999990463257,418
"801","190731-11-34-23.304",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",801,149,"SS_ORANGE","ORANGE","TRUE","NO_RESPONSE","CORRECT",2.00341796875,0.759999990463257,960
"802","190731-11-34-27.026",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",802,150,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.000244140625,0.759999990463257,960
"803","190731-11-34-30.175",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",803,151,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.427734375,0.759999990463257,286
"804","190731-11-34-33.256",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",804,152,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.357177734375,0.759999990463257,321
"805","190731-11-34-36.977",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",805,153,"SS_ORANGE","ORANGE","TRUE","NO_RESPONSE","CORRECT",2.00146484375,0.759999990463257,960
"806","190731-11-34-39.807",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",806,154,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.1083984375,0.759999990463257,445
"807","190731-11-34-43.534",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",807,155,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.0048828125,0.759999990463257,960
"808","190731-11-34-47.258",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",808,156,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.001953125,0.759999990463257,960
"809","190731-11-34-50.012",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",809,157,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.035400390625,0.759999990463257,482
"810","190731-11-34-52.805",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",810,158,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.0751953125,0.759999990463257,462
"811","190731-11-34-55.519",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",811,159,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",0.99853515625,0.759999990463257,500
"812","190731-11-34-58.237",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",812,160,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",0.99365234375,0.759999990463257,503
"813","190731-11-35-01.021",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",813,161,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.065673828125,0.759999990463257,467
"814","190731-11-35-03.572",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",814,162,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",0.831298828125,0.759999990463257,584
